No,Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan
605,LIFE,MSIG Life Insurance Indonesia ,09 Jul 2019,2.100.000.000,Pengembangan
606,FUJI,Fuji Finance Indonesia Tbk.,09 Jul 2019,1.300.000.000,Pengembangan
607,KOTA,DMS Propertindo Tbk.,09 Jul 2019,10.546.185.701,Utama
608,INOV,Inocycle Technology Group Tbk.,10 Jul 2019,1.808.221.900,Pengembangan
609,ARKA,Arkha Jayanti Persada Tbk.,10 Jul 2019,2.000.000.000,Pemantauan Khusus
610,SMKL,Satyamitra Kemas Lestari Tbk.,11 Jul 2019,3.418.085.290,Pengembangan
611,HDIT,Hensel Davest Indonesia Tbk.,12 Jul 2019,1.524.680.000,Utama
612,KEEN,Kencana Energi Lestari Tbk.,02 Sep 2019,3.666.312.500,Utama
613,BAPI,Bhakti Agung Propertindo Tbk.,16 Sep 2019,5.591.980.103,Pemantauan Khusus
614,TFAS,Telefast Indonesia Tbk.,17 Sep 2019,1.666.666.500,Pengembangan
615,GGRP,Gunung Raja Paksi Tbk.,19 Sep 2019,12.111.376.157,Pengembangan
616,OPMS,Optima Prima Metal Sinergi Tbk,23 Sep 2019,1.000.000.000,Pengembangan
617,NZIA,Nusantara Almazia Tbk.,25 Sep 2019,2.197.540.705,Pengembangan
618,SLIS,Gaya Abadi Sempurna Tbk.,07 Okt 2019,2.463.367.996,Pengembangan
619,PURE,Trinitan Metals and Minerals T,09 Okt 2019,1.375.181.505,Pemantauan Khusus
620,IRRA,Itama Ranoraya Tbk.,15 Okt 2019,1.600.000.000,Pengembangan
621,DMMX,Digital Mediatama Maxima Tbk.,21 Okt 2019,7.692.307.700,Pengembangan
622,SINI,Singaraja Putra Tbk.,08 Nov 2019,1.202.500.000,Pemantauan Khusus
623,WOWS,Ginting Jaya Energi Tbk.,08 Nov 2019,2.475.720.000,Pengembangan
624,ESIP,Sinergi Inti Plastindo Tbk.,14 Nov 2019,1.109.953.847,Pengembangan
625,TEBE,Dana Brata Luhur Tbk.,18 Nov 2019,1.285.000.000,Utama
626,KEJU,Mulia Boga Raya Tbk.,25 Nov 2019,5.624.999.999,Utama
627,PSGO,Palma Serasih Tbk.,25 Nov 2019,18.850.000.000,Utama
628,AGAR,Asia Sejahtera Mina Tbk.,02 Des 2019,1.000.000.000,Pengembangan
629,IFSH,Ifishdeco Tbk.,05 Des 2019,2.125.000.000,Pemantauan Khusus
630,REAL,Repower Asia Indonesia Tbk.,06 Des 2019,6.633.610.151,Pengembangan
631,IFII,Indonesia Fibreboard Industry ,10 Des 2019,9.412.000.000,Pengembangan
632,PMJS,Putra Mandiri Jembar Tbk.,18 Des 2019,13.755.600.000,Pengembangan
633,UCID,Uni-Charm Indonesia Tbk.,20 Des 2019,4.156.572.300,Utama
634,GLVA,Galva Technologies Tbk.,23 Des 2019,1.500.000.000,Utama
635,PGJO,Bahtera Bumi Raya Tbk.,08 Jan 2020,795.859.095,Pemantauan Khusus
636,AMAR,Bank Amar Indonesia Tbk.,09 Jan 2020,18.197.283.760,Utama
637,CSRA,Cisadane Sawit Raya Tbk.,09 Jan 2020,2.050.000.000,Pengembangan
638,INDO,Royalindo Investa Wijaya Tbk.,13 Jan 2020,4.480.741.638,Pengembangan
639,AMOR,Ashmore Asset Management Indon,14 Jan 2020,2.222.222.400,Pengembangan
640,TRIN,Perintis Triniti Properti Tbk.,15 Jan 2020,4.551.457.789,Pengembangan
641,DMND,Diamond Food Indonesia Tbk.,22 Jan 2020,9.468.359.000,Utama
642,PURA,Putra Rajawali Kencana Tbk.,29 Jan 2020,6.301.930.902,Pemantauan Khusus
643,PTPW,Pratama Widya Tbk.,07 Feb 2020,878.187.500,Pengembangan
644,TAMA,Lancartama Sejati Tbk.,10 Feb 2020,1.200.000.696,Pengembangan
645,IKAN,Era Mandiri Cemerlang Tbk.,12 Feb 2020,833.333.000,Pengembangan
646,SAMF,Saraswanti Anugerah Makmur Tbk,31 Mar 2020,10.250.000.000,Utama
647,SBAT,Sejahtera Bintang Abadi Textil,08 Apr 2020,4.752.982.378,Pemantauan Khusus
648,KBAG,Karya Bersama Anugerah Tbk.,08 Apr 2020,7.150.002.603,Pemantauan Khusus
649,CBMF,Cahaya Bintang Medan Tbk.,09 Apr 2020,1.875.000.000,Pemantauan Khusus
650,RONY,Aracord Nusantara Group Tbk.,09 Apr 2020,1.250.000.000,Pengembangan
651,CSMI,Cipta Selera Murni Tbk.,09 Apr 2020,816.061.500,Pengembangan
652,BBSS,Bumi Benowo Sukses Sejahtera T,15 Apr 2020,4.800.016.020,Pengembangan
653,BHAT,Bhakti Multi Artha Tbk.,15 Apr 2020,5.000.000.000,Pengembangan
654,CASH,Cashlez Worldwide Indonesia Tb,04 Mei 2020,2.427.802.216,Akselerasi
655,TECH,Indosterling Technomedia Tbk.,04 Jun 2020,1.256.300.000,Pemantauan Khusus
656,EPAC,Megalestari Epack Sentosaraya ,01 Jul 2020,3.303.400.000,Pengembangan
657,UANG,Pakuan Tbk.,06 Jul 2020,1.210.000.000,Pengembangan
658,PGUN,Pradiksi Gunatama Tbk.,07 Jul 2020,5.737.848.882,Pengembangan
659,SOFA,Solusi Environment Asia Tbk.,07 Jul 2020,1.653.574.499,Akselerasi
660,PPGL,Prima Globalindo Logistik Tbk.,20 Jul 2020,771.178.020,Akselerasi
661,TOYS,Sunindo Adipersada Tbk.,06 Agt 2020,1.435.000.712,Pemantauan Khusus
662,SGER,Sumber Global Energy Tbk.,10 Agt 2020,15.586.909.438,Utama
663,TRJA,Transkon Jaya Tbk.,27 Agt 2020,1.510.200.000,Pengembangan
664,PNGO,AEP Pinago Plantations Tbk.,31 Agt 2020,781.250.000,Pemantauan Khusus
665,SCNP,Selaras Citra Nusantara Perkas,07 Sep 2020,2.500.000.000,Pengembangan
666,BBSI,Krom Bank Indonesia Tbk.,07 Sep 2020,3.637.976.068,Utama
667,KMDS,Kurniamitra Duta Sentosa Tbk.,07 Sep 2020,800.000.000,Pengembangan
668,PURI,Puri Global Sukses Tbk.,08 Sep 2020,1.000.000.000,Pengembangan
669,SOHO,Soho Global Health Tbk.,08 Sep 2020,12.691.682.390,Pengembangan
670,HOMI,Grand House Mulia Tbk.,10 Sep 2020,1.575.000.000,Pengembangan
671,ROCK,Rockfields Properti Indonesia ,10 Sep 2020,1.435.185.100,Pengembangan
672,ENZO,Morenzo Abadi Perkasa Tbk.,14 Sep 2020,2.162.547.122,Pengembangan
673,PLAN,Planet Properindo Jaya Tbk.,15 Sep 2020,896.709.596,Akselerasi
674,PTDU,Djasa Ubersakti Tbk.,08 Des 2020,1.500.000.000,Pemantauan Khusus
675,ATAP,Trimitra Prawara Goldland Tbk.,11 Des 2020,1.250.000.000,Pengembangan
676,VICI,Victoria Care Indonesia Tbk.,17 Des 2020,6.708.000.000,Utama
677,PMMP,Panca Mitra Multiperdana Tbk.,18 Des 2020,2.588.300.000,Pemantauan Khusus
678,BANK,Bank Aladin Syariah Tbk.,01 Feb 2021,14.793.174.908,Pengembangan
679,WMUU,Widodo Makmur Unggas Tbk.,02 Feb 2021,12.941.176.500,Pengembangan
680,EDGE,Indointernet Tbk.,08 Feb 2021,2.020.250.000,Pengembangan
681,UNIQ,Ulima Nitra Tbk.,08 Mar 2021,3.138.983.000,Pengembangan
682,BEBS,Berkah Beton Sadaya Tbk.,10 Mar 2021,45.000.000.000,Pemantauan Khusus
683,SNLK,Sunter Lakeside Hotel Tbk.,29 Mar 2021,450.000.000,Pengembangan
684,ZYRX,Zyrexindo Mandiri Buana Tbk.,30 Mar 2021,1.333.334.556,Pengembangan
685,LFLO,Imago Mulia Persada Tbk.,07 Apr 2021,1.307.734.937,Akselerasi
686,FIMP,Fimperkasa Utama Tbk.,09 Apr 2021,400.000.975,Pemantauan Khusus
687,TAPG,Triputra Agro Persada Tbk.,12 Apr 2021,19.852.540.000,Utama
688,NPGF,Nusa Palapa Gemilang Tbk.,14 Apr 2021,3.240.235.840,Pengembangan
689,LUCY,Lima Dua Lima Tiga Tbk.,05 Mei 2021,1.514.773.893,Akselerasi
690,ADCP,Adhi Commuter Properti Tbk.,21 Mei 2021,22.222.222.200,Pengembangan
691,HOPE,Harapan Duta Pertiwi Tbk.,24 Mei 2021,2.130.360.203,Pengembangan
692,MGLV,NexAI Digital Infrastruktur Tb,08 Jun 2021,1.904.883.411,Akselerasi
693,TRUE,Triniti Dinamik Tbk.,10 Jun 2021,7.571.107.860,Pengembangan
694,LABA,Green Power Group Tbk.,10 Jun 2021,1.103.402.553,Pengembangan
695,ARCI,Archi Indonesia Tbk.,28 Jun 2021,25.235.000.000,Pengembangan
696,IPAC,Era Graharealty Tbk.,30 Jun 2021,949.868.500,Akselerasi
697,MASB,Bank Multiarta Sentosa Tbk.,30 Jun 2021,1.387.737.233,Utama
698,BMHS,Bundamedik Tbk.,06 Jul 2021,8.603.416.176,Utama
699,FLMC,Falmaco Nonwoven Industri Tbk.,08 Jul 2021,781.250.000,Akselerasi
700,NICL,PAM Mineral Tbk.,09 Jul 2021,10.635.644.907,Pengembangan
701,UVCR,Trimegah Karya Pratama Tbk.,27 Jul 2021,2.000.144.838,Pengembangan
702,BUKA,Bukalapak.com Tbk.,06 Agt 2021,103.167.090.767,Ekonomi Baru
703,HAIS,Hasnur Internasional Shipping ,01 Sep 2021,2.626.250.000,Pengembangan
704,OILS,Indo Oil Perkasa Tbk.,06 Sep 2021,454.056.563,Pengembangan
705,GPSO,Geoprima Solusi Tbk.,06 Sep 2021,733.415.103,Pengembangan
706,MCOL,Prima Andalan Mandiri Tbk.,07 Sep 2021,3.555.560.000,Utama
707,RSGK,Kedoya Adyaraya Tbk.,08 Sep 2021,929.675.000,Pengembangan
708,RUNS,Global Sukses Solusi Tbk.,08 Sep 2021,983.557.875,Akselerasi
709,SBMA,Surya Biru Murni Acetylene Tbk,08 Sep 2021,929.926.282,Pengembangan
710,CMNT,Cemindo Gemilang Tbk.,08 Sep 2021,17.125.504.000,Pengembangan
711,GTSI,GTS Internasional Tbk.,08 Sep 2021,15.819.142.767,Pengembangan
712,IDEA,Idea Indonesia Akademi Tbk.,09 Sep 2021,1.062.437.500,Akselerasi
713,KUAS,Ace Oldfields Tbk.,25 Okt 2021,1.292.808.150,Pengembangan
714,BOBA,Formosa Ingredient Factory Tbk,01 Nov 2021,1.155.750.000,Pengembangan
715,MTEL,Dayamitra Telekomunikasi Tbk.,22 Nov 2021,83.559.677.444,Utama
716,DEPO,Caturkarda Depo Bangunan Tbk.,25 Nov 2021,6.790.000.000,Pengembangan
717,BINO,Perma Plasindo Tbk.,25 Nov 2021,2.275.316.111,Pengembangan
718,CMRY,Cisarua Mountain Dairy Tbk.,06 Des 2021,7.934.683.000,Utama
719,WGSH,Wira Global Solusi Tbk.,06 Des 2021,2.085.000.000,Akselerasi
720,TAYS,Jaya Swarasa Agung Tbk.,06 Des 2021,1.098.920.000,Pengembangan
721,ADMR,Alamtri Minerals Indonesia Tbk,03 Jan 2022,40.882.331.500,Utama
722,SEMA,Semacom Integrated Tbk.,10 Jan 2022,1.347.258.842,Pengembangan
723,ASLC,Autopedia Sukses Lestari Tbk.,25 Jan 2022,12.746.354.780,Pengembangan
724,NETV,MDTV Media Technologies Tbk.,26 Jan 2022,41.360.517.722,Pengembangan
725,BAUT,Mitra Angkasa Sejahtera Tbk.,28 Jan 2022,4.800.182.969,Pemantauan Khusus
726,ENAK,Champ Resto Indonesia Tbk.,08 Feb 2022,2.166.666.800,Pengembangan
727,NTBK,Nusatama Berkah Tbk.,09 Feb 2022,2.700.064.877,Pengembangan
728,SMKM,Sumber Mas Konstruksi Tbk.,09 Mar 2022,1.253.000.000,Akselerasi
729,STAA,Sumber Tani Agung Resources Tb,10 Mar 2022,10.903.372.600,Utama
730,NANO,Nanotech Indonesia Global Tbk.,10 Mar 2022,4.285.440.269,Akselerasi
731,BIKE,Bhineka Inovasi Ketahanan Ener,21 Mar 2022,1.293.916.404,Pengembangan
732,WIRG,WIR ASIA Tbk.,04 Apr 2022,11.938.622.394,Pengembangan
733,SICO,Sigma Energy Compressindo Tbk.,08 Apr 2022,910.077.764,Pengembangan
734,GOTO,GoTo Gojek Tokopedia Tbk.,11 Apr 2022,1.140.573.267.220,Pengembangan
735,TLDN,Teladan Prima Agro Tbk.,12 Apr 2022,12.946.530.200,Utama
736,MTMH,Murni Sadar Tbk.,20 Apr 2022,2.068.526.950,Utama
737,WINR,Winner Nusantara Jaya Tbk.,25 Apr 2022,5.235.316.030,Pemantauan Khusus
738,IBOS,Indo Boga Sukses Tbk.,25 Apr 2022,8.065.789.529,Akselerasi
739,OLIV,Atlas Nexus Group Tbk.,17 Mei 2022,1.900.073.314,Akselerasi
740,ASHA,Cilacap Samudera Fishing Indus,27 Mei 2022,5.000.000.000,Pengembangan
741,SWID,Saraswanti Indoland Developmen,07 Jul 2022,5.385.019.201,Pengembangan
742,TRGU,Cerestar Indonesia Tbk.,08 Jul 2022,7.945.412.700,Utama
743,ARKO,Arkora Hydro Tbk.,08 Jul 2022,2.928.495.000,Pengembangan
744,CHEM,Chemstar Indonesia Tbk.,08 Jul 2022,1.700.014.594,Pengembangan
745,DEWI,Dewi Shri Farmindo Tbk.,18 Jul 2022,2.000.000.000,Pengembangan
746,AXIO,Tera Data Indonusa Tbk.,20 Jul 2022,5.840.126.500,Pengembangan
747,KRYA,Bangun Karya Perkasa Jaya Tbk.,25 Jul 2022,1.663.943.474,Pengembangan
748,HATM,Habco Trans Maritima Tbk.,26 Jul 2022,8.680.000.000,Utama
749,RCCC,Utama Radar Cahaya Tbk.,02 Agt 2022,787.500.000,Akselerasi
750,GULA,Aman Agrindo Tbk.,03 Agt 2022,1.070.362.500,Pengembangan
751,JARR,Jhonlin Agro Raya Tbk.,04 Agt 2022,9.230.665.050,Utama
752,AMMS,Agung Menjangan Mas Tbk.,04 Agt 2022,1.235.296.802,Akselerasi
753,RAFI,Sari Kreasi Boga Tbk.,05 Agt 2022,3.128.140.475,Pemantauan Khusus
754,KKES,Kusuma Kemindo Sentosa Tbk.,08 Agt 2022,1.500.000.000,Pemantauan Khusus
755,ELPI,Pelayaran Nasional Ekalya Purn,08 Agt 2022,9.524.420.000,Utama
756,EURO,Estee Gold Feet Tbk.,08 Agt 2022,2.548.826.428,Akselerasi
757,KLIN,Klinko Karya Imaji Tbk.,09 Agt 2022,1.307.530.330,Akselerasi
758,TOOL,Rohartindo Nusantara Luas Tbk.,09 Agt 2022,2.050.020.320,Pengembangan
759,BUAH,Segar Kumala Indonesia Tbk.,09 Agt 2022,2.000.000.000,Pengembangan
760,CRAB,Toba Surimi Industries Tbk.,10 Agt 2022,1.950.000.000,Pengembangan
761,MEDS,Hetzer Medical Indonesia Tbk.,10 Agt 2022,1.562.500.000,Pengembangan
762,COAL,Black Diamond Resources Tbk.,07 Sep 2022,6.250.000.000,Pengembangan
763,PRAY,Famon Awal Bros Sedaya Tbk.,08 Nov 2022,13.959.422.300,Utama
764,CBUT,Citra Borneo Utama Tbk.,08 Nov 2022,3.125.000.000,Utama
765,BELI,Global Digital Niaga Tbk.,08 Nov 2022,137.218.985.689,Pengembangan
766,MKTR,Menthobi Karyatama Raya Tbk.,08 Nov 2022,12.060.428.584,Utama
767,OMED,Jayamas Medica Industri Tbk.,08 Nov 2022,27.058.850.000,Utama
768,BSBK,Wulandari Bangun Laksana Tbk.,08 Nov 2022,25.091.882.375,Pengembangan
769,PDPP,Primadaya Plastisindo Tbk.,09 Nov 2022,3.061.341.438,Pengembangan
770,KDTN,Puri Sentul Permai Tbk.,09 Nov 2022,1.250.023.298,Pengembangan
771,ZATA,Bersama Zatta Jaya Tbk.,10 Nov 2022,8.496.000.000,Pengembangan
772,NINE,Techno9 Indonesia Tbk.,05 Des 2022,2.157.000.000,Akselerasi
773,MMIX,Multi Medika Internasional Tbk,06 Des 2022,4.800.425.380,Pengembangan
774,PADA,Personel Alih Daya Tbk.,08 Des 2022,3.150.000.000,Pengembangan
775,ISAP,Isra Presisi Indonesia Tbk.,09 Des 2022,4.020.356.282,Akselerasi
776,VTNY,Venteny Fortuna International ,15 Des 2022,6.265.193.445,Pengembangan
777,SOUL,Mitra Tirta Buwana Tbk.,06 Jan 2023,1.082.526.223,Akselerasi
778,ELIT,Data Sinergitama Jaya Tbk.,06 Jan 2023,2.031.643.057,Pengembangan
779,BEER,Jobubu Jarum Minahasa Tbk.,06 Jan 2023,4.000.000.000,Pengembangan
780,CBPE,Citra Buana Prasida Tbk.,06 Jan 2023,1.356.250.000,Pengembangan
781,SUNI,Sunindo Pratama Tbk.,09 Jan 2023,2.500.000.000,Utama
782,CBRE,Cakra Buana Resources Energi T,09 Jan 2023,4.538.067.441,Pengembangan
783,WINE,Hatten Bali Tbk.,10 Jan 2023,2.710.000.000,Pengembangan
784,BMBL,Lavender Bina Cendikia Tbk.,11 Jan 2023,1.030.080.995,Akselerasi
785,PEVE,Penta Valent Tbk.,24 Jan 2023,1.765.625.000,Pengembangan
786,LAJU,Jasa Berdikari Logistics Tbk.,27 Jan 2023,2.149.942.974,Pengembangan
787,FWCT,Wijaya Cahaya Timber Tbk.,01 Feb 2023,1.963.000.000,Pengembangan
788,NAYZ,Hassana Boga Sejahtera Tbk.,06 Feb 2023,2.550.011.472,Akselerasi
789,IRSX,Folago Global Nusantara Tbk.,07 Feb 2023,6.195.047.377,Pengembangan
790,PACK,Abadi Nusantara Hijau Investam,08 Feb 2023,34.100.064.675,Akselerasi
791,VAST,Vastland Indonesia Tbk.,08 Feb 2023,3.055.737.049,Pengembangan
792,CHIP,Pelita Teknologi Global Tbk.,08 Feb 2023,806.000.000,Akselerasi
793,HALO,Haloni Jane Tbk.,08 Feb 2023,6.078.729.117,Pengembangan
794,KING,Hoffmen Cleanindo Tbk.,16 Feb 2023,2.602.852.170,Akselerasi
795,PGEO,Pertamina Geothermal Energy Tb,24 Feb 2023,41.899.535.623,Utama
796,FUTR,Futura Energi Global Tbk.,27 Feb 2023,6.635.551.959,Pengembangan
797,HILL,Hillcon Tbk.,01 Mar 2023,14.741.500.000,Pemantauan Khusus
798,BDKR,Berdikari Pondasi Perkasa Tbk.,03 Mar 2023,4.725.101.522,Utama
799,PTMP,Mitra Pack Tbk.,06 Mar 2023,3.169.200.000,Pengembangan
800,SAGE,Saptausaha Gemilangindah Tbk.,08 Mar 2023,8.033.527.260,Pemantauan Khusus
801,TRON,Teknologi Karya Digital Nusa T,08 Mar 2023,2.951.328.448,Pengembangan
802,CUAN,Petrindo Jaya Kreasi Tbk.,08 Mar 2023,112.418.900.000,Utama
803,NSSS,Nusantara Sawit Sejahtera Tbk.,10 Mar 2023,23.801.568.645,Pengembangan
804,GTRA,Grahaprima Suksesmandiri Tbk.,30 Mar 2023,1.894.375.000,Pengembangan
805,HAJJ,Arsy Buana Travelindo Tbk.,05 Apr 2023,2.468.527.572,Akselerasi
806,JATI,Informasi Teknologi Indonesia ,08 Mei 2023,3.262.520.106,Pengembangan
807,TYRE,King Tire Indonesia Tbk.,08 Mei 2023,3.480.581.727,Pengembangan
808,MPXL,MPX Logistics International Tb,09 Mei 2023,2.000.014.587,Pengembangan
809,SMIL,Sarana Mitra Luas Tbk.,12 Mei 2023,8.751.668.239,Utama
810,KLAS,Pelayaran Kurnia Lautan Semest,12 Jun 2023,3.644.415.975,Pengembangan
811,MAXI,Maxindo Karya Anugerah Tbk.,12 Jun 2023,9.610.099.981,Pengembangan
812,VKTR,VKTR Teknologi Mobilitas Tbk.,19 Jun 2023,43.750.000.000,Pengembangan
813,RELF,Graha Mitra Asia Tbk.,22 Jun 2023,5.727.832.195,Akselerasi
814,AMMN,Amman Mineral Internasional Tb,07 Jul 2023,72.518.217.656,Utama
815,CRSN,Carsurin Tbk.,10 Jul 2023,2.892.000.000,Pengembangan
816,GRPM,Graha Prima Mentari Tbk.,10 Jul 2023,1.571.666.469,Akselerasi
817,WIDI,Widiant Jaya Krenindo Tbk.,10 Jul 2023,1.600.031.683,Akselerasi
818,TGUK,Platinum Wahab Nusantara Tbk.,10 Jul 2023,3.571.451.815,Pemantauan Khusus
819,INET,Sinergi Inti Andalan Prima Tbk,24 Jul 2023,22.375.402.831,Pengembangan
820,MAHA,Mandiri Herindo Adiperkasa Tbk,25 Jul 2023,16.666.000.000,Utama
821,RMKO,Royaltama Mulia Kontraktorindo,31 Jul 2023,1.576.720.595,Pengembangan
822,CNMA,Nusantara Sejahtera Raya Tbk.,02 Agt 2023,83.345.000.000,Pengembangan
823,FOLK,Multi Garam Utama Tbk.,07 Agt 2023,4.091.357.544,Pengembangan
824,HBAT,Minahasa Membangun Hebat Tbk.,07 Agt 2023,1.040.740.800,Akselerasi
825,GRIA,Ingria Pratama Capitalindo Tbk,08 Agt 2023,7.375.720.674,Pengembangan
826,PPRI,Paperocks Indonesia Tbk.,08 Agt 2023,1.075.027.288,Pengembangan
827,ERAL,Sinar Eka Selaras Tbk.,08 Agt 2023,5.187.500.000,Utama
828,CYBR,ITSEC Asia Tbk.,08 Agt 2023,13.483.357.505,Pengembangan
829,MUTU,Mutuagung Lestari Tbk.,09 Agt 2023,3.452.228.885,Pengembangan
830,LMAX,Lupromax Pelumas Indonesia Tbk,09 Agt 2023,650.008.775,Akselerasi
831,HUMI,Humpuss Maritim Internasional ,09 Agt 2023,18.063.771.579,Pengembangan
832,MSIE,Multisarana Intan Eduka Tbk.,10 Agt 2023,1.460.007.754,Akselerasi
833,RSCH,Charlie Hospital Semarang Tbk.,28 Agt 2023,2.650.000.000,Pengembangan
834,BABY,Multitrend Indo Tbk.,07 Sep 2023,2.854.826.582,Pengembangan
835,AEGS,Anugerah Spareparts Sejahtera ,11 Sep 2023,1.006.080.721,Akselerasi
836,IOTF,Sumber Sinergi Makmur Tbk.,06 Okt 2023,5.290.298.067,Pengembangan
837,KOCI,Kokoh Exa Nusantara Tbk.,07 Okt 2023,4.467.447.405,Pengembangan
838,PTPS,Pulau Subur Tbk.,09 Okt 2023,2.167.514.856,Pengembangan
839,BREN,Barito Renewables Energy Tbk.,09 Okt 2023,133.786.220.000,Utama
840,STRK,Lovina Beach Brewery Tbk.,10 Okt 2023,10.721.835.562,Pengembangan
841,KOKA,Koka Indonesia Tbk.,11 Okt 2023,2.861.333.000,Pengembangan
842,LOPI,Logisticsplus International Tb,11 Okt 2023,1.100.011.289,Akselerasi
843,UDNG,Agro Bahari Nusantara Tbk.,31 Okt 2023,1.750.040.072,Akselerasi
844,RGAS,Kian Santang Muliatama Tbk.,08 Nov 2023,1.459.234.110,Pengembangan
845,MSTI,Mastersystem Infotama Tbk.,08 Nov 2023,3.139.416.200,Utama
846,IKPM,Ikapharmindo Putramas Tbk.,08 Nov 2023,1.684.662.500,Pengembangan
847,AYAM,Janu Putra Sejahtera Tbk.,30 Nov 2023,4.000.000.000,Pengembangan
848,SURI,Maja Agung Latexindo Tbk.,07 Des 2023,6.334.375.000,Pengembangan
849,ASLI,Asri Karya Lestari Tbk.,05 Jan 2024,6.250.000.000,Pengembangan
850,GRPH,Griptha Putra Persada Tbk.,17 Jan 2024,1.000.000.000,Pengembangan
851,SMGA,Sumber Mineral Global Abadi Tb,30 Jan 2024,8.750.000.000,Pengembangan
852,UNTD,Terang Dunia Internusa Tbk.,07 Feb 2024,6.666.666.700,Pengembangan
853,TOSK,Topindo Solusi Komunika Tbk.,07 Feb 2024,4.375.277.300,Pengembangan
854,MPIX,Mitra Pedagang Indonesia Tbk.,07 Feb 2024,1.562.574.308,Pengembangan
855,ALII,Ancara Logistics Indonesia Tbk,07 Feb 2024,15.825.800.000,Utama
856,MKAP,Multikarya Asia Pasifik Raya T,12 Feb 2024,3.250.000.000,Pengembangan
857,MEJA,Harta Djaya Karya Tbk.,12 Feb 2024,2.608.081.058,Akselerasi
858,LIVE,Homeco Victoria Makmur Tbk.,12 Feb 2024,4.593.005.014,Pengembangan
859,HYGN,Ecocare Indo Pasifik Tbk.,13 Feb 2024,2.525.000.000,Pengembangan
860,BAIK,Bersama Mencapai Puncak Tbk.,15 Feb 2024,1.127.497.572,Pengembangan
861,VISI,Satu Visi Putra Tbk.,27 Feb 2024,3.075.000.000,Pengembangan
862,AREA,Dunia Virtual Online Tbk.,01 Apr 2024,2.539.601.000,Pengembangan
863,MHKI,Multi Hanna Kreasindo Tbk.,16 Apr 2024,3.750.000.000,Pengembangan
864,ATLA,Atlantis Subsea Indonesia Tbk.,16 Apr 2024,6.199.577.693,Pengembangan
865,DATA,Remala Abadi Tbk.,07 Mei 2024,1.375.000.000,Pengembangan
866,SOLA,Xolare RCR Energy Tbk.,08 Mei 2024,3.287.375.000,Pengembangan
867,BATR,Benteng Api Technic Tbk.,10 Jun 2024,3.025.037.353,Pengembangan
868,SPRE,Soraya Berjaya Indonesia Tbk.,03 Jul 2024,800.000.000,Akselerasi
869,PART,Cipta Perdana Lancar Tbk.,05 Jul 2024,2.850.594.054,Pengembangan
870,GOLF,Intra Golflink Resorts Tbk.,08 Jul 2024,19.486.760.000,Utama
871,ISEA,Indo American Seafoods Tbk.,08 Jul 2024,1.390.013.370,Pengembangan
872,BLES,Superior Prima Sukses Tbk.,08 Jul 2024,8.890.206.400,Pengembangan
873,GUNA,Gunanusa Eramandiri Tbk.,09 Jul 2024,2.500.000.000,Pengembangan
874,LABS,UBC Medical Indonesia Tbk.,10 Jul 2024,3.950.000.000,Pengembangan
875,DOSS,Global Sukses Digital Tbk.,07 Agt 2024,1.725.000.000,Pengembangan
876,NEST,Esta Indonesia Tbk.,08 Agt 2024,4.112.500.000,Pengembangan
877,PTMR,Master Print Tbk.,08 Okt 2024,1.907.000.000,Pemantauan Khusus
878,VERN,Verona Indah Pictures Tbk.,08 Okt 2024,4.765.648.183,Pengembangan
879,DAAZ,Daaz Bara Lestari Tbk.,11 Nov 2024,1.997.000.000,Utama
880,BOAT,Newport Marine Services Tbk.,12 Nov 2024,3.501.680.000,Pengembangan
881,NAIK,Adiwarna Anugerah Abadi Tbk.,13 Nov 2024,3.329.422.047,Pengembangan
882,AADI,Adaro Andalan Indonesia Tbk.,09 Mar 2026,7.786.891.760,Utama
883,MDIY,Daya Intiguna Yasa Tbk.,19 Des 2024,25.190.392.000,Utama
884,KSIX,Kentanix Supra International T,08 Jan 2025,2.137.831.800,Pengembangan
885,RATU,Raharja Energi Cepu Tbk.,08 Jan 2025,2.715.053.800,Pengembangan
886,YOII,Asuransi Digital Bersama Tbk.,08 Jan 2025,3.926.983.181,Pengembangan
887,HGII,Hero Global Investment Tbk.,09 Jan 2025,6.500.000.000,Pengembangan
888,BRRC,Raja Roti Cemerlang Tbk.,09 Jan 2025,994.603.036,Pengembangan
889,DGWG,Delta Giri Wacana Tbk.,13 Jan 2025,5.882.353.000,Utama
890,CBDK,Bangun Kosambi Sukses Tbk.,13 Jan 2025,5.668.944.500,Utama
891,OBAT,Brigit Biofarmaka Teknologi Tb,13 Jan 2025,680.376.575,Pengembangan
892,MINE,Sinar Terang Mandiri Tbk.,10 Mar 2025,4.084.435.300,Pengembangan
893,ASPR,Asia Pramulia Tbk.,08 Jul 2025,2.712.000.000,Pengembangan
894,PSAT,Pancaran Samudera Transport Tb,08 Jul 2025,1.482.353.000,Pengembangan
895,COIN,Indokripto Koin Semesta Tbk.,09 Jul 2025,14.705.882.400,Pengembangan
896,CDIA,Chandra Daya Investasi Tbk.,09 Jul 2025,124.829.374.700,Pengembangan
897,BLOG,Trimitra Trans Persada Tbk.,10 Jul 2025,3.379.487.200,Utama
898,MERI,Merry Riana Edukasi Tbk.,10 Jul 2025,1.035.132.500,Pengembangan
899,KAQI,Jantra Grupo Indonesia Tbk.,10 Mar 2025,2.075.800.000,Pengembangan
